"SDT_YY","ARP","APRON_SIZE","CRAFT_STAND"
2017,"ARP1",1215487,152
2017,"ARP2",389358,41
2017,"ARP3",403994,36
2017,"ARP4",43982,7
2017,"ARP5",33480,6
2017,"ARP6",91047,18
2017,"ARP7",90692,48
2017,"ARP8",44300,5
2017,"ARP9",41868,5
2017,"ARP10",48526,18
2017,"ARP11",32617,5
2017,"ARP12",13140,2
2017,"ARP13",13758,2
2017,"ARP14",6590,1
2017,"ARP15",2437000,171
2018,"ARP1",1215487,143
2018,"ARP2",389358,38
2018,"ARP3",449113,43
2018,"ARP4",51182,9
2018,"ARP5",33480,6
2018,"ARP6",91047,18
2018,"ARP7",90692,48
2018,"ARP8",44300,5
2018,"ARP9",41868,5
2018,"ARP10",72385,26
2018,"ARP11",32617,5
2018,"ARP12",13140,2
2018,"ARP13",13758,2
2018,"ARP14",6590,1
2018,"ARP15",2437000,171
2019,"ARP1",1215487,144
2019,"ARP2",389358,38
2019,"ARP3",449393,43
2019,"ARP4",51182,9
2019,"ARP5",33480,6
2019,"ARP6",91047,18
2019,"ARP7",113094,50
2019,"ARP8",44300,5
2019,"ARP9",41868,5
2019,"ARP10",72385,28
2019,"ARP11",32617,5
2019,"ARP12",13140,2
2019,"ARP13",13758,2
2019,"ARP14",6590,1
2019,"ARP15",2437000,171
